25
1
5
12000   16000   0   2550
9795   21510   0   549   0
7758   10895   0   558   0
12927   2464   0   851   0
23286   5538   0   388   0
7416   15826   0   194   0
21524   24879   483   0   0
22337   17915   389   0   0
7642   9722   435   0   0
3707   20036   452   0   0
15492   2721   343   0   0
12430   10638   444   0   0
13595   1918   350   0   0
4290   2721   307   0   0
18684   5268   810   0   0
8686   9546   1002   0   0
23140   10989   476   0   0
5263   14289   674   0   0
19557   17564   691   0   0
23281   29684   675   0   0
374   22683   410   0   0
18804   9082   351   0   0
5444   25004   786   0   0
20390   25745   59   0   0
4310   21692   362   0   0
8526   2495   550   0   0
