30
1
7
12000   16000   0   1600
11753   14521   0   513   0
18478   343   0   823   0
8902   17909   0   413   0
4164   17244   0   349   0
21409   23706   0   557   0
13118   5136   0   595   0
23848   6905   0   685   0
8721   15199   0   702   0
14724   3467   0   562   0
882   7119   0   29   0
2011   8053   633   0   0
14930   16046   140   0   0
12059   22809   783   0   0
20229   18078   802   0   0
19838   15720   289   0   0
4882   8944   391   0   0
18152   14829   303   0   0
20952   939   659   0   0
23170   18442   759   0   0
997   7677   151   0   0
3838   24076   229   0   0
21785   12332   424   0   0
23903   563   439   0   0
15733   27639   423   0   0
4450   5945   361   0   0
11186   7301   701   0   0
9931   7827   534   0   0
12701   23875   609   0   0
8726   5130   313   0   0
1048   889   897   0   0
