38
1
7
12000   16000   0   2750
4967   2049   0   235   0
9504   26955   0   527   0
10458   4509   0   435   0
20556   8035   0   732   0
23758   6981   0   428   0
11712   3016   0   801   0
19652   15073   0   362   0
17725   3342   0   688   0
5645   24076   556   0   0
12651   24239   464   0   0
3728   23699   512   0   0
5986   11491   326   0   0
23823   1830   814   0   0
2674   17225   510   0   0
9891   15807   620   0   0
6779   24440   581   0   0
2945   4289   486   0   0
22859   16046   675   0   0
19366   25142   746   0   0
7682   5569   149   0   0
3748   16497   562   0   0
13384   6096   553   0   0
20330   6748   490   0   0
20872   625   428   0   0
13846   23850   664   0   0
10423   2420   534   0   0
676   6021   637   0   0
10804   24302   422   0   0
21133   11040   574   0   0
1871   19358   631   0   0
20300   7300   1000   0   0
12812   1290   525   0   0
14066   23110   289   0   0
23622   12658   643   0   0
19095   25983   378   0   0
15351   6987   539   0   0
4260   14753   424   0   0
15853   27363   565   0   0
