45
1
7
12000   16000   0   2650
16822   18649   0   319   0
269   1987   0   510   0
4084   28411   0   520   0
17032   20544   0   319   0
23436   8185   0   318   0
14382   23354   0   388   0
1384   23932   0   653   0
2307   807   0   870   0
8079   21171   0   475   0
15768   3907   0   528   0
18448   4986   0   539   0
16531   22865   0   488   0
6503   11774   0   198   0
15697   18511   0   323   0
19311   16441   0   592   0
1620   9521   316   0   0
17529   5945   727   0   0
17720   1930   270   0   0
5022   15807   588   0   0
7552   2144   775   0   0
19306   13800   174   0   0
11918   8907   586   0   0
17570   13624   846   0   0
22990   19823   248   0   0
3808   27840   138   0   0
9429   3110   511   0   0
6508   9973   608   0   0
11547   17250   325   0   0
6367   2758   211   0   0
22147   29935   651   0   0
7733   19898   293   0   0
9680   9471   426   0   0
15442   13950   396   0   0
14528   13724   399   0   0
9700   28442   276   0   0
5002   11529   933   0   0
18925   16108   294   0   0
22187   224   764   0   0
23743   20651   783   0   0
9971   8467   851   0   0
4711   24628   706   0   0
9017   4126   745   0   0
14036   11215   601   0   0
12199   15331   783   0   0
8696   23850   430   0   0
