60
1
5
12000   16000   0   4400
17534   15977   0   549   0
18799   21748   0   541   0
16972   10782   0   549   0
23938   25349   0   547   0
219   5600   0   541   0
9183   12852   0   611   0
14061   6039   0   677   0
9283   5701   0   497   0
8932   18323   0   299   0
10357   23492   0   347   0
7196   17181   0   968   0
23296   27495   0   120   0
7427   9013   0   421   0
10357   8185   0   547   0
7848   28725   0   416   0
6292   16303   0   797   0
7738   22539   0   903   0
21499   12150   0   609   0
4897   25889   0   634   0
18307   16642   0   941   0
21901   14120   0   753   0
7256   20255   0   333   0
9534   23191   0   606   0
23095   13731   0   348   0
13951   28624   0   561   0
3943   17721   0   323   0
10076   6203   0   148   0
8691   22438   0   618   0
19923   21272   0   434   0
23597   19063   0   772   0
7140   18467   607   0   0
2182   3850   516   0   0
5293   18179   158   0   0
19587   20839   776   0   0
1178   26046   263   0   0
16064   26661   367   0   0
11316   10111   674   0   0
20240   3612   631   0   0
4440   28681   533   0   0
12390   25657   527   0   0
20932   19622   599   0   0
21002   15268   203   0   0
5103   11065   1013   0   0
3055   15531   798   0   0
21755   1403   338   0   0
10613   10149   475   0   0
15341   18241   713   0   0
23953   11679   584   0   0
1961   349   488   0   0
324   3649   474   0   0
22769   5255   418   0   0
15542   28794   283   0   0
21725   1604   453   0   0
2272   10814   177   0   0
15562   17150   340   0   0
13153   22269   492   0   0
20661   20462   431   0   0
4671   16334   789   0   0
5615   8969   673   0   0
5524   6447   617   0   0
