57
1
5
12000   16000   0   5300
22493   15550   0   431   0
14754   25876   0   446   0
19682   18963   0   443   0
18036   6617   0   369   0
22473   1021   0   377   0
16882   2589   0   491   0
17404   12200   0   371   0
10639   19051   0   548   0
15226   13242   0   782   0
21178   1874   0   296   0
2056   24446   0   559   0
23145   16842   0   490   0
5856   23988   556   0   0
12581   24503   469   0   0
3938   23963   309   0   0
6197   11755   322   0   0
23753   1742   814   0   0
2603   17137   517   0   0
9820   15720   623   0   0
6709   24352   581   0   0
3156   4201   484   0   0
22789   16309   672   0   0
19577   25054   748   0   0
7612   5833   146   0   0
3677   16761   569   0   0
13595   6360   548   0   0
20260   7012   487   0   0
21083   538   428   0   0
13775   23762   657   0   0
10634   2332   532   0   0
606   5933   642   0   0
10734   24214   419   0   0
21344   10952   567   0   0
2081   19622   634   0   0
20229   7213   1005   0   0
12741   1203   523   0   0
13996   23022   292   0   0
23833   12922   647   0   0
19306   25895   378   0   0
15281   6899   539   0   0
4189   14666   424   0   0
15783   27275   567   0   0
9730   17024   567   0   0
6247   26347   669   0   0
3818   1278   364   0   0
14388   17727   202   0   0
3396   25644   766   0   0
21253   14239   510   0   0
777   27903   327   0   0
7261   29321   752   0   0
12480   6447   384   0   0
1038   15971   866   0   0
6960   19233   496   0   0
6578   17100   212   0   0
877   4477   809   0   0
4932   15883   331   0   0
10824   20312   479   0   0
