90
1
5
12000   16000   0   5700
8892   6203   0   586   0
13399   1309   0   595   0
6011   9879   0   798   0
16330   12313   0   725   0
9012   21849   0   325   0
15386   8198   0   236   0
3873   2940   0   919   0
9073   24571   0   502   0
1625   3894   0   137   0
19542   7658   0   250   0
12666   15362   0   316   0
21720   22539   0   637   0
23326   27558   0   406   0
13620   15262   0   617   0
20144   1661   0   362   0
18026   21083   0   342   0
13871   18059   0   335   0
9374   15525   0   753   0
14623   7407   0   475   0
10307   4722   0   609   0
9294   20619   0   323   0
19120   24019   0   851   0
7858   17470   0   650   0
10598   19377   0   432   0
21349   19402   0   785   0
6894   25613   0   311   0
12164   16717   0   280   0
6654   18862   0   824   0
14633   331   0   1101   0
8450   5174   0   334   0
15296   20368   0   577   0
10508   19452   0   577   0
621   7570   0   684   0
11823   7570   0   515   0
5288   12940   0   346   0
10197   4960   0   692   0
15627   26692   0   721   0
5048   17671   0   864   0
18177   9653   0   773   0
18036   21309   0   573   0
23406   12564   0   435   0
359   21046   0   968   0
17715   25726   0   657   0
21499   23016   0   816   0
11994   10054   0   602   0
10272   7075   709   0   0
5103   22545   421   0   0
8285   6962   665   0   0
22649   9710   671   0   0
4310   14653   767   0   0
18985   15356   666   0   0
14588   28894   778   0   0
23301   22482   731   0   0
7572   17288   435   0   0
15311   14352   427   0   0
23923   8405   301   0   0
264   3787   503   0   0
8234   29672   318   0   0
5976   4226   300   0   0
746   19835   641   0   0
13394   28668   177   0   0
18192   7200   817   0   0
3156   374   489   0   0
4952   18932   185   0   0
3186   22169   571   0   0
1620   24214   318   0   0
18463   17489   383   0   0
716   20387   551   0   0
5334   29333   77   0   0
18413   6109   840   0   0
16355   10964   390   0   0
23652   9245   531   0   0
7733   5205   93   0   0
8746   27928   370   0   0
8445   25494   915   0   0
14217   399   520   0   0
22558   24477   619   0   0
8234   14364   317   0   0
6909   15770   154   0   0
7743   8643   517   0   0
13986   12545   264   0   0
5334   10814   877   0   0
23923   27539   299   0   0
16967   19270   532   0   0
17349   14101   413   0   0
11657   2319   445   0   0
23100   15142   562   0   0
5504   17476   360   0   0
21384   14189   83   0   0
15381   3574   425   0   0
