94
1
10
12000   16000   0   4400
15547   18725   0   295   0
7768   29026   0   190   0
19100   28624   0   593   0
3171   9666   0   529   0
17715   26341   0   653   0
19632   29929   0   509   0
22001   2790   0   433   0
8290   5161   0   877   0
18498   8449   0   481   0
15366   970   0   386   0
17675   3706   0   343   0
15296   23580   0   384   0
6212   9565   0   571   0
7005   17721   0   623   0
18438   16240   0   715   0
12506   19791   0   655   0
16611   14910   0   723   0
6302   5048   0   423   0
11763   25613   0   143   0
17108   11792   732   0   0
5815   19873   639   0   0
3015   26723   684   0   0
11256   22081   903   0   0
10935   19459   192   0   0
19768   12420   487   0   0
9108   18743   199   0   0
11979   4590   557   0   0
14267   22181   462   0   0
16164   11504   255   0   0
18794   27991   523   0   0
12812   15983   727   0   0
15000   4302   343   0   0
6900   1466   324   0   0
19687   9509   664   0   0
2212   10952   404   0   0
1027   11566   237   0   0
3868   27702   109   0   0
23964   8693   416   0   0
16074   4540   796   0   0
8526   28668   947   0   0
19246   14904   409   0   0
19517   10237   777   0   0
18011   11792   499   0   0
1389   10650   463   0   0
16927   8116   418   0   0
18523   28831   755   0   0
20480   17401   720   0   0
15512   2558   393   0   0
9088   22382   342   0   0
8877   19873   539   0   0
11376   6761   445   0   0
15070   19082   545   0   0
7622   13097   579   0   0
2473   28405   743   0   0
2593   24565   286   0   0
11958   15619   500   0   0
706   24603   920   0   0
11768   9120   556   0   0
6307   26209   440   0   0
18352   6861   469   0   0
23953   12294   585   0   0
375   7062   583   0   0
10132   26385   507   0   0
21865   8204   452   0   0
17539   21215   558   0   0
4189   7627   422   0   0
2523   9785   288   0   0
10955   3988   247   0   0
17640   6058   444   0   0
11386   25506   276   0   0
19376   22156   375   0   0
21514   9960   654   0   0
11868   11868   840   0   0
9860   15745   539   0   0
305   18191   581   0   0
17439   10814   271   0   0
12681   24038   554   0   0
12069   23034   612   0   0
5765   12583   701   0   0
10624   21240   906   0   0
7974   27263   576   0   0
5344   2771   501   0   0
23652   20726   331   0   0
12962   26636   753   0   0
9359   6234   715   0   0
2142   29998   604   0   0
17861   27313   669   0   0
12912   11692   812   0   0
5293   6698   362   0   0
14358   29760   515   0   0
566   17740   521   0   0
22367   21805   875   0   0
7672   12997   920   0   0
5886   16397   842   0   0
