113
1
7
12000   16000   0   6200
520   15073   0   794   0
16952   25287   0   890   0
3933   24797   0   294   0
11933   6102   0   428   0
2689   22689   0   362   0
4817   26190   0   608   0
6834   28963   0   737   0
17334   1246   0   174   0
3472   4797   0   387   0
270   27231   0   483   0
2789   29879   0   440   0
340   19666   0   480   0
15186   5563   0   268   0
15908   13982   0   722   0
3271   12413   0   409   0
21268   15876   0   755   0
1584   10908   0   220   0
15206   1309   0   729   0
20877   21786   0   640   0
20154   5098   0   585   0
23266   5701   0   33   0
10759   3731   0   489   0
19361   12865   0   732   0
9032   2551   0   184   0
19421   4459   0   510   0
13760   6817   0   219   0
10478   519   0   692   0
23657   22752   0   745   0
2648   22401   0   642   0
12807   25437   0   311   0
6543   29967   0   507   0
4064   20920   0   470   0
8701   14396   0   442   0
19933   14459   0   561   0
19592   26077   0   390   0
10568   11924   0   147   0
1615   26014   0   506   0
22613   19101   0   578   0
21133   26347   572   0   0
937   7815   478   0   0
13304   18492   524   0   0
12501   17765   239   0   0
3206   19145   827   0   0
2854   15845   430   0   0
7361   25644   433   0   0
907   15406   294   0   0
18503   6648   695   0   0
11216   29710   789   0   0
4731   20023   558   0   0
13986   11930   56   0   0
7201   3900   577   0   0
13916   4804   861   0   0
17589   16673   305   0   0
15351   21679   739   0   0
5193   26297   675   0   0
22849   15820   648   0   0
9830   638   453   0   0
17178   400   329   0   0
656   28179   382   0   0
2473   18154   544   0   0
17630   17313   415   0   0
7080   22432   636   0   0
5484   25293   898   0   0
12119   26498   557   0   0
4601   21040   190   0   0
21795   13173   253   0   0
7572   1980   630   0   0
16244   25895   480   0   0
6920   26861   582   0   0
375   17313   182   0   0
19095   3637   580   0   0
2744   1391   513   0   0
12761   20525   580   0   0
3838   20249   426   0   0
4230   15306   737   0   0
7793   28028   663   0   0
9740   16021   394   0   0
19236   7025   380   0   0
22307   21328   505   0   0
19005   500   526   0   0
10312   29095   621   0   0
11306   21981   441   0   0
14066   7802   691   0   0
556   24201   496   0   0
2373   14791   659   0   0
15662   20864   626   0   0
15120   18718   485   0   0
12621   24176   578   0   0
21534   17451   509   0   0
20480   18016   518   0   0
13645   9471   293   0   0
19095   15117   380   0   0
8255   22821   573   0   0
13374   28831   125   0   0
21534   25105   711   0   0
7873   12068   890   0   0
22147   15243   849   0   0
6799   8354   40   0   0
2684   20663   343   0   0
15130   425   114   0   0
3386   10111   542   0   0
12651   1278   666   0   0
17268   11190   391   0   0
4480   24528   449   0   0
12149   22119   637   0   0
19105   22997   409   0   0
5183   11378   649   0   0
12380   10124   498   0   0
12330   6661   551   0   0
13494   28204   265   0   0
2603   6272   317   0   0
2724   1554   661   0   0
15823   8430   679   0   0
