150
1
8
12000   16000   0   5000
21278   27583   0   384   0
16631   26843   0   177   0
6603   15136   0   284   0
17665   14960   0   317   0
11271   20506   0   346   0
16320   12702   0   490   0
21610   4258   0   525   0
10889   25412   0   457   0
359   17219   0   772   0
23878   28699   0   373   0
5389   20130   0   627   0
6001   28787   0   569   0
23697   3292   0   457   0
3622   406   0   410   0
17976   17620   0   204   0
15035   9954   0   440   0
22483   23593   0   608   0
15025   2690   0   416   0
23406   11949   0   432   0
2026   14132   0   479   0
7707   3342   0   619   0
22403   20067   0   377   0
9996   17984   0   723   0
2729   26541   0   671   0
16250   17056   0   497   0
13509   8461   0   704   0
13218   20594   0   476   0
5178   1698   0   232   0
11301   19954   0   429   0
380   12037   0   597   0
21389   5350   0   496   0
21690   14822   0   556   0
5459   27257   0   631   0
19331   16015   0   648   0
22262   16416   0   575   0
16019   20782   0   438   0
10478   23480   0   295   0
10116   5262   0   664   0
4154   9365   0   520   0
399   5149   0   283   0
14111   24195   0   612   0
8771   25349   0   643   0
2819   29063   0   327   0
10548   12087   0   92   0
4957   13919   0   405   0
3331   795   0   385   0
6573   381   0   598   0
10538   27169   0   461   0
18488   8223   0   252   0
5830   6818   0   487   0
3171   28185   0   529   0
12204   5262   0   596   0
19020   21272   0   364   0
4305   27934   0   351   0
4646   8047   0   321   0
4144   21234   0   699   0
18307   8988   0   339   0
10227   20067   0   580   0
22754   14484   0   375   0
21549   29954   0   551   0
4385   15538   0   376   0
12475   27382   0   565   0
21810   2715   0   495   0
5017   16993   0   578   0
13569   26491   0   277   0
22242   5099   0   522   0
13850   17608   0   475   0
14583   26868   0   756   0
9615   26717   0   438   0
4124   28085   0   632   0
10910   14383   0   521   0
13720   14797   0   502   0
4275   1083   0   462   0
17876   21911   0   512   0
741   7558   0   425   0
10202   6987   709   0   0
5032   22457   418   0   0
8214   6874   660   0   0
22578   9622   681   0   0
4240   14917   765   0   0
19196   15268   664   0   0
14518   28806   773   0   0
23231   22395   731   0   0
7502   17552   435   0   0
15241   14264   424   0   0
23853   8317   297   0   0
275   3699   496   0   0
8164   29935   313   0   0
5906   4139   300   0   0
957   20099   638   0   0
13605   28932   172   0   0
18403   7112   810   0   0
3085   287   482   0   0
5163   19195   190   0   0
3115   22432   564   0   0
1831   24126   320   0   0
18393   17752   378   0   0
646   20299   555   0   0
5263   29597   75   0   0
18623   6021   840   0   0
16285   10876   392   0   0
23582   9157   528   0   0
7662   5117   91   0   0
8676   27840   370   0   0
8375   25406   917   0   0
14147   311   518   0   0
22488   24389   621   0   0
8164   14628   317   0   0
6839   15682   149   0   0
7953   8555   519   0   0
13916   12457   261   0   0
5263   11077   875   0   0
23853   27451   297   0   0
16897   19534   534   0   0
17560   14013   421   0   0
11587   2231   445   0   0
23030   15055   559   0   0
5434   17388   360   0   0
21313   14101   81   0   0
15311   3486   422   0   0
16827   23888   733   0   0
9459   17865   401   0   0
13635   27765   459   0   0
4330   29534   224   0   0
16857   8643   618   0   0
16586   5657   652   0   0
6418   10048   751   0   0
14819   5419   627   0   0
11296   14716   215   0   0
15271   25807   513   0   0
11557   5996   359   0   0
10674   5832   449   0   0
12039   26799   326   0   0
17128   3361   593   0   0
16947   299   275   0   0
3788   16523   276   0   0
7261   29935   750   0   0
10613   13361   477   0   0
11045   8354   507   0   0
6337   21830   528   0   0
8857   9170   487   0   0
7341   10500   578   0   0
5183   15205   247   0   0
6217   7150   387   0   0
4721   9546   332   0   0
19487   9822   691   0   0
11818   5544   99   0   0
15602   17175   254   0   0
7030   15757   497   0   0
10945   26723   421   0   0
