125
1
10
12000   16000   0   5200
13760   6817   0   219   0
10478   519   0   692   0
23657   22752   0   745   0
2648   22401   0   642   0
12807   25437   0   311   0
6543   29967   0   507   0
4064   20920   0   470   0
8701   14396   0   442   0
19933   14459   0   561   0
19592   26077   0   390   0
10568   11924   0   147   0
1615   26014   0   506   0
22613   19101   0   578   0
13660   4070   0   529   0
6643   10983   0   598   0
17705   11422   0   427   0
9163   23881   0   352   0
219   8812   0   543   0
4887   3317   0   610   0
20164   16542   0   419   0
15898   14371   0   496   0
15868   25174   0   408   0
16771   3091   0   576   0
21871   25538   0   665   0
6292   5437   0   597   0
13584   24302   515   0   0
5494   21077   329   0   0
5685   16711   671   0   0
16987   939   592   0   0
19517   17275   579   0   0
7552   28932   776   0   0
23883   23687   587   0   0
5534   28756   445   0   0
10955   4603   443   0   0
15773   12972   737   0   0
21394   18242   507   0   0
18473   25105   414   0   0
23512   2031   731   0   0
18332   17890   812   0   0
10111   14716   248   0   0
19979   5030   487   0   0
21645   24251   425   0   0
3406   29082   997   0   0
2493   28856   798   0   0
21665   13574   680   0   0
16967   26309   532   0   0
6889   1240   695   0   0
10152   15356   162   0   0
11708   5431   387   0   0
21936   23248   52   0   0
16676   9408   505   0   0
20982   18906   344   0   0
2282   26347   404   0   0
364   311   382   0   0
20661   8982   628   0   0
23441   25255   332   0   0
5002   663   533   0   0
11547   1943   725   0   0
7301   14302   467   0   0
5143   18392   527   0   0
8325   3423   775   0   0
20541   13436   489   0   0
12209   11115   811   0   0
2262   14415   351   0   0
23863   20023   530   0   0
15040   19634   657   0   0
23562   13762   667   0   0
2975   27313   968   0   0
15793   5155   196   0   0
6659   5933   236   0   0
5253   7639   444   0   0
18613   12834   11   0   0
20009   3863   972   0   0
7572   16673   434   0   0
17178   7439   329   0   0
13916   15669   458   0   0
967   1190   667   0   0
6237   7602   443   0   0
23512   28204   529   0   0
495   20864   322   0   0
18001   12181   671   0   0
13986   23411   263   0   0
12430   25331   646   0   0
14528   13110   596   0   0
11567   21529   788   0   0
19276   18794   695   0   0
19547   13511   869   0   0
19908   8154   689   0   0
17278   14628   416   0   0
9720   9145   540   0   0
9037   7790   200   0   0
4812   20337   594   0   0
23592   6171   158   0   0
21775   9509   194   0   0
17078   23210   646   0   0
4852   4703   305   0   0
18122   11554   618   0   0
19055   4578   467   0   0
7281   14465   202   0   0
8485   6648   631   0   0
13042   15469   377   0   0
13735   9396   348   0   0
15823   26949   479   0   0
3326   10864   171   0   0
20531   2608   861   0   0
17710   9007   441   0   0
6879   15707   468   0   0
1549   2395   323   0   0
4199   18718   451   0   0
19155   18806   749   0   0
16345   25431   565   0   0
15050   26284   482   0   0
224   18492   355   0   0
5966   23135   72   0   0
8114   11165   575   0   0
8285   7577   261   0   0
20782   16623   976   0   0
14036   7388   403   0   0
18362   17953   498   0   0
16586   20964   248   0   0
5484   28505   502   0   0
7823   16610   548   0   0
10985   1190   533   0   0
4410   22194   50   0   0
14789   8831   543   0   0
