150
1
8
12000   16000   0   8500
1725   21949   0   820   0
22443   15651   0   291   0
11622   7533   0   344   0
14613   7181   0   244   0
771   10569   0   714   0
18508   15099   0   311   0
16029   5701   0   267   0
20666   29528   0   638   0
7898   29590   0   362   0
7557   11209   0   594   0
22533   27056   0   548   0
13861   10795   0   307   0
10578   3881   0   382   0
1625   19201   0   335   0
18608   26115   0   394   0
5670   26554   0   631   0
21409   9013   0   755   0
12465   23593   0   341   0
16852   18097   0   206   0
8410   1322   0   417   0
3863   29503   0   693   0
4114   9954   0   606   0
4736   18223   0   577   0
9835   10318   0   268   0
18257   20218   0   396   0
12606   23154   0   738   0
18578   11360   0   709   0
22262   8762   0   577   0
4626   26730   0   264   0
1976   18060   0   334   0
22413   12376   0   410   0
9725   11171   0   352   0
22724   3555   0   292   0
8260   9540   0   589   0
3994   6140   0   268   0
7979   3116   0   190   0
12867   25914   0   482   0
19211   12464   0   711   0
23637   8223   0   491   0
5058   28762   0   290   0
10809   18674   0   434   0
23427   12401   0   490   0
20817   3141   0   878   0
12997   14032   0   451   0
4586   26704   0   147   0
8099   24220   0   334   0
8129   5763   0   420   0
19833   3442   0   680   0
6232   5575   0   628   0
10107   2438   0   239   0
16967   11617   734   0   0
5956   19697   648   0   0
3155   26548   684   0   0
11396   21905   903   0   0
11075   19634   187   0   0
19908   12595   490   0   0
9248   18568   195   0   0
11838   4766   357   0   0
14408   22006   457   0   0
16024   11328   250   0   0
18654   27815   525   0   0
12952   16159   720   0   0
14859   4477   340   0   0
6759   1642   328   0   0
19547   9684   667   0   0
2352   11127   402   0   0
1168   11742   240   0   0
3728   27526   109   0   0
23823   8869   414   0   0
15933   4364   796   0   0
8385   28844   943   0   0
19105   14728   406   0   0
19376   10061   777   0   0
18152   11617   501   0   0
1248   10826   465   0   0
17068   8292   418   0   0
18382   29007   752   0   0
20621   17225   913   0   0
15371   2382   398   0   0
9228   22558   538   0   0
8736   20048   546   0   0
11517   6585   448   0   0
14929   19258   545   0   0
7763   12922   577   0   0
2613   28229   748   0   0
2734   24741   290   0   0
12099   15795   498   0   0
566   24779   927   0   0
11627   9296   558   0   0
6167   26033   445   0   0
18212   7037   469   0   0
23813   12118   583   0   0
234   7238   579   0   0
10272   26209   510   0   0
22006   8028   452   0   0
17680   21039   558   0   0
4049   7802   420   0   0
2382   9960   284   0   0
11095   4164   249   0   0
17499   5883   446   0   0
11246   25331   272   0   0
19236   22332   382   0   0
21374   9785   652   0   0
12009   12043   840   0   0
10001   15569   534   0   0
445   18016   585   0   0
17298   10638   276   0   0
12822   23863   549   0   0
11928   23210   617   0   0
5906   12407   701   0   0
10483   21065   908   0   0
7833   27087   576   0   0
5484   2947   505   0   0
23793   20550   329   0   0
13103   26460   753   0   0
9499   6410   710   0   0
2001   374   602   0   0
18001   27489   674   0   0
13053   11868   805   0   0
5434   6522   353   0   0
14217   29584   519   0   0
425   17564   525   0   0
22227   21981   882   0   0
7532   13173   918   0   0
5745   16573   842   0   0
7522   6523   495   0   0
5083   11843   769   0   0
4249   10701   195   0   0
12762   5833   581   0   0
2905   8706   175   0   0
21233   26497   456   0   0
7482   14151   381   0   0
22879   12407   132   0   0
22468   9860   364   0   0
10573   20989   765   0   0
4842   8919   279   0   0
556   20989   497   0   0
6669   24678   667   0   0
9278   10362   482   0   0
8505   9697   485   0   0
5404   17326   871   0   0
15120   7853   485   0   0
5524   9659   812   0   0
6648   1529   614   0   0
1881   16109   662   0   0
11999   4427   814   0   0
11206   3925   758   0   0
11165   29810   848   0   0
1600   2031   261   0   0
9198   349   254   0   0
